Enseigne,Nom,Adresse,Commune,NPA,Canton,lat_wgs84,lon_wgs84
Migros,Migros Cornavin,"Pl. de Cornavin 3-7, 1201 Genève",Genève,1201,GE,46.210782,6.143301
Migros,Migros Carouge,"Rue de Carouge 64, 1205 Genève",Genève,1205,GE,46.192880,6.142803
Migros,Migros Les Cygnes,"Rue de Lausanne 18-20, 1201 Genève",Genève,1201,GE,46.211256,6.144637
Migros,Migros Eaux-Vives,"Rue des Eaux-Vives 17-19, 1207 Genève",Genève,1207,GE,46.203835,6.157697
Migros,Migros Place du Cirque,"Pl. du Cirque 2, 1204 Genève",Genève,1204,GE,46.201057,6.139764
Migros,Migros Balexert,"Avenue Louis-Casaï 27, 1219 Genève",Genève,1219,GE,46.218767,6.113117
Migros,Migros Servette,"Rue de la Servette 93, 1202 Genève",Genève,1202,GE,46.213289,6.130058
Migros,Migros Pâquis,"Rue des Pâquis 41, 1201 Genève",Genève,1201,GE,46.212363,6.149683
Migros,Migros Champel,"Av. de Champel 61, 1206 Genève",Genève,1206,GE,46.190833,6.152500
Migros,Migros Fusterie,"Pl. de la Fusterie 7, 1204 Genève",Genève,1204,GE,46.203928,6.146199
Migros,Migros Gland,"Rue Mauverney 22, 1196 Gland",Gland,1196,VD,46.417107,6.276034
Migros,Migros Nyon La Combe,"Chem. de la Fontaine 1, 1260 Nyon",Nyon,1260,GE,46.388056,6.220833
Migros,Migros Nyon Morâche,"Rue de la Morâche 6, 1260 Nyon",Nyon,1260,GE,46.382579,6.234429
Migros,Migros Rolle,"Av. de la Gare 17, 1180 Rolle",Rolle,1180,VD,46.461121,6.338120
Migros,Migros Morges,"Rue de la Gare 19, 1110 Morges",Morges,1110,VD,46.509683,6.494820
Migros,Migros Lausanne Vallonnette,"Av. de la Vallonnette 2, 1012 Lausanne",Lausanne,1012,VD,46.527222,6.651667
Migros,Migros Lausanne Sévelin,"Av. de Sévelin 2, 1007 Lausanne",Lausanne,1007,VD,46.521601,6.616187
Migros,Migros Lausanne Métropole,"Rue des Terreaux 25, 1003 Lausanne",Lausanne,1003,VD,46.522490,6.627500
Migros,Migros Lausanne Flon Europe,"Pl. de l'Europe 8, 1003 Lausanne",Lausanne,1003,VD,46.520749,6.629819
Migros,Migros Lausanne Ouchy,"Av. de Rhodanie 2, 1007 Lausanne",Lausanne,1007,VD,46.507924,6.624862
Migros,Migros Lausanne Blécherette,"Chem. des Bossons 52, 1018 Lausanne",Lausanne,1018,VD,46.539586,6.618126
Migros,Migros Lausanne Sous-Gare,"Av. d'Ouchy 11, 1006 Lausanne",Lausanne,1006,VD,46.514727,6.632777
Migros,Migros Lausanne Borde,"Rue de la Borde 3B, 1018 Lausanne",Lausanne,1018,VD,46.527228,6.633071
Migros,Migros Lausanne Cour,"Av. de Cour 36, 1007 Lausanne",Lausanne,1007,VD,46.515557,6.617782
Migros,Migros Vevey Coindet,"Av. Gustave-Coindet 11, 1800 Vevey",Vevey,1800,VD,46.463643,6.840278
Migros,Migros Montreux,"Pl. du Marché 6, 1820 Montreux",Montreux,1820,VD,46.431363,6.910302
Migros,Migros Vevey Des 2 Gares,"Rue des Moulins 5b, 1800 Vevey",Vevey,1800,VD,46.464697,6.842102
Migros,Migros Clarens,"Rue du Léman 9, 1815 Montreux",Montreux,1815,VD,46.440413,6.893238
